"filename", "language", "JavaScript JSX", "SCSS", "JavaScript", "CSS", "XML", "JSON", "HTML", "JSON with Comments", "Markdown", "comment", "blank", "total"
"/Users/vivek/WebstormProjects/react-movie/src/components/modal/modal.scss", "SCSS", 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 8, 52
"/Users/vivek/WebstormProjects/react-movie/src/components/movie-card/MovieCard.jsx", "JavaScript JSX", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 33
"/Users/vivek/WebstormProjects/react-movie/src/components/movie-card/movie-card.scss", "SCSS", 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 6, 43
"/Users/vivek/WebstormProjects/react-movie/src/components/movie-grid/MovieGrid.jsx", "JavaScript JSX", 114, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 132
"/Users/vivek/WebstormProjects/react-movie/src/components/movie-grid/movie-grid.scss", "SCSS", 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 8, 39
"/Users/vivek/WebstormProjects/react-movie/src/components/movie-list/MovieList.jsx", "JavaScript JSX", 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 66
"/Users/vivek/WebstormProjects/react-movie/src/components/movie-list/movie-list.scss", "SCSS", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16
"/Users/vivek/WebstormProjects/react-movie/src/components/page-header/PageHeader.jsx", "JavaScript JSX", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 17
"/Users/vivek/WebstormProjects/react-movie/src/components/page-header/page-header.scss", "SCSS", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 6, 29
"/Users/vivek/WebstormProjects/react-movie/src/config/Routes.jsx", "JavaScript JSX", 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 84
"/Users/vivek/WebstormProjects/react-movie/src/context/AuthContext.js", "JavaScript", 0, 0, 42, 0, 0, 0, 0, 0, 0, 3, 12, 57
"/Users/vivek/WebstormProjects/react-movie/src/index.js", "JavaScript", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 2, 14
"/Users/vivek/WebstormProjects/react-movie/src/pages/Catalog.jsx", "JavaScript JSX", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 29
"/Users/vivek/WebstormProjects/react-movie/src/pages/ChangePassword.jsx", "JavaScript JSX", 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 86
"/Users/vivek/WebstormProjects/react-movie/src/pages/EditProfile.jsx", "JavaScript JSX", 85, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 97
"/Users/vivek/WebstormProjects/react-movie/src/pages/Home.jsx", "JavaScript JSX", 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 60
"/Users/vivek/WebstormProjects/react-movie/src/pages/Login.jsx", "JavaScript JSX", 56, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 63
"/Users/vivek/WebstormProjects/react-movie/src/pages/News.jsx", "JavaScript JSX", 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 84
